,score_title,score_summary
2020-07-20,0.1085464211387766,-0.013207984553581
2020-07-21,-0.1503794686152385,-0.009720597272882
2020-07-22,-0.147650076970458,0.057896827849249
2020-07-23,0.0286561586723035,0.0346555026349465
2020-07-24,-0.2645063735544681,-0.0915933167906823
2020-07-27,-0.0695992956558863,-0.1229348139216502
2020-07-28,-0.0869560908526182,-0.1359537582844495
2020-07-29,0.1382610388100147,0.2168686534666145
2020-07-30,-0.0932590398006141,-0.1333441557362675
2020-07-31,-0.0393014022459586,0.026768991878877
2020-08-03,-0.0203433279982871,-0.0818152623768481
2020-08-04,0.1214287262409925,0.1013661119155585
2020-08-05,-0.013974400406534,-0.0359691520023978
2020-08-06,-0.1764801874756813,0.2826912529145678
2020-08-07,-0.0202608284436994,-0.0150732590506474
2020-08-10,0.2261046203784644,0.2851226162165403
2020-08-11,0.0807768527107934,0.0085957584281762
2020-08-12,0.064580788090825,0.1279971398082044
2020-08-13,0.0723238915670663,-0.0063066465469698
2020-08-14,-0.2445376443543604,-0.0111231026904923
2020-08-17,0.0768428309397264,0.186439180069349
2020-08-18,0.201661806139681,0.1657770844176411
2020-08-19,0.1985322883860631,0.2729926715520295
2020-08-20,0.13318531720766,-0.0470968000590801
2020-08-21,-0.0129618704319,0.4361911644538243
2020-08-24,0.1428077005382095,0.3458941006766898
2020-08-25,-0.0844698462635278,0.1712019905758401
2020-08-26,0.2136209614574909,0.5430510563465456
2020-08-27,-0.1652318158497413,-0.1277188087503115
2020-08-28,-0.1717160083353519,0.2251240129116922
2020-08-31,0.0649444277930472,0.1787829741924291
2020-09-01,0.1395946638658642,0.2085451727792147
2020-09-02,-0.1753059468944283,0.0318865686308081
2020-09-03,-0.0727194683920396,-0.1878102411303603
2020-09-04,-0.0666456720126526,-0.3878751239251523
2020-09-08,-0.2151245294371619,-0.2743312560099488
2020-09-09,-0.1334004856180399,-0.1139169640114737
2020-09-10,0.1911552403536107,-0.4096655689041923
2020-09-11,-0.0482466575793094,0.0184072713729822
2020-09-14,-0.0919519546441733,-0.287328636739403
2020-09-15,0.0539849810302257,0.0279537482808033
2020-09-16,0.2730641771107912,0.1537853063394625
2020-09-17,0.0361658485074128,0.0397386097992282
2020-09-18,-0.0391965607802073,0.0747302820285161
2020-09-21,0.1268522596607605,0.0365355728814999
2020-09-22,0.153649449672388,0.1118613950827199
2020-09-23,-0.0715854996815323,-0.016605078180631
2020-09-24,-0.0505553541616315,-0.1489928051947601
2020-09-25,0.0486053390694516,0.2944922555770192
2020-09-28,0.1288656469434499,-0.0348583145222316
2020-09-29,0.1910069179721176,0.2389375120401382
2020-09-30,0.0440462231636047,0.2171804331243038
2020-10-01,0.1116793394088745,0.1287368740886449
2020-10-02,0.1686785861849785,0.2545080192387104
2020-10-05,0.1200964295615752,0.4116047248244285
2020-10-06,0.1137445569038391,-0.016094771027565
2020-10-07,-0.1019728437066078,0.0123486942301193
2020-10-08,0.6335894106887281,0.3215143457055092
2020-10-09,0.1266115924809128,-0.0091110423672944
2020-10-12,-0.0845958702266216,0.1710555478930473
2020-10-13,0.3919998273874323,0.7160028417905172
